id,album_id,library,folder,action,proposed_value,confidence,risk,reason,approval
ACT-000032,ALB-FB738233,CONTEMPORARY,/data/Music/CONTEMPORARY/Beach Boys/Billboard Top 100 of 1988,ADD_ALBUMARTIST,Beach Boys,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000033,ALB-4A216FAB,CONTEMPORARY,/data/Music/CONTEMPORARY/Bent/Erotic Lounge 4 - Bare Jewels,ADD_ALBUMARTIST,Bent,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000034,ALB-FEC0B353,CONTEMPORARY,/data/Music/CONTEMPORARY/Bent/Ministry Of Sound - The Chillout Session Ibiza 2002 - Disc 1,ADD_ALBUMARTIST,Bent,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000035,ALB-71825723,CONTEMPORARY,/data/Music/CONTEMPORARY/Beyonce/Above & Beyoncé_ Dance Mixes,ADD_ALBUMARTIST,Beyoncé,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000036,ALB-38673531,CONTEMPORARY,/data/Music/CONTEMPORARY/Beyonce/B'Day (Deluxe Edition),ADD_ALBUMARTIST,Beyoncé,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000037,ALB-5454E44C,CONTEMPORARY,/data/Music/CONTEMPORARY/Beyonce/DJ_Finesse-Spring_Fever_2-CD,ADD_ALBUMARTIST,Beyonce Feat Sean Paul,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000038,ALB-BD96D6A6,CONTEMPORARY,/data/Music/CONTEMPORARY/Billie Holiday/A Night Out With Verve - Disc 4 - Romancing,ADD_ALBUMARTIST,Billie Holiday,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000039,ALB-0AB1A4EB,CONTEMPORARY,/data/Music/CONTEMPORARY/Billie Holiday/Billie Holiday,ADD_ALBUMARTIST,Billie Holiday,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000040,ALB-76021E83,CONTEMPORARY,/data/Music/CONTEMPORARY/Billie Holiday/Lady Jazz,ADD_ALBUMARTIST,Billie Holiday,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000041,ALB-BF73219F,CONTEMPORARY,/data/Music/CONTEMPORARY/Billie Holiday/The Jazz Singer,ADD_ALBUMARTIST,Billie Holiday,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000042,ALB-FFCE5676,CONTEMPORARY,/data/Music/CONTEMPORARY/Billie Holiday/The Lady Sings 1944-1950 Cd 1,ADD_ALBUMARTIST,Billie Holiday,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000043,ALB-A7D62BCE,CONTEMPORARY,/data/Music/CONTEMPORARY/Black Eyed Peas,ADD_ALBUMARTIST,Black Eyed Peas Ft Justin Timberlake (www.mp3sfinder.com),HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000044,ALB-52FB4AD0,CONTEMPORARY,/data/Music/CONTEMPORARY/Black Eyed Peas/Best Of Black 04 CD 2,ADD_ALBUMARTIST,Black Eyed Peas,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000045,ALB-84C4CFA0,CONTEMPORARY,/data/Music/CONTEMPORARY/Black Eyed Peas/Billboard Top 100 Hits Of 2003,ADD_ALBUMARTIST,Black Eyed Peas,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000046,ALB-2DD36668,CONTEMPORARY,/data/Music/CONTEMPORARY/Black Eyed Peas/Billboard Top 100 of 2004,ADD_ALBUMARTIST,Black Eyed Peas,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000047,ALB-56864EC9,CONTEMPORARY,/data/Music/CONTEMPORARY/Black Eyed Peas/Hip Hop Don't Stop [Disc 3],ADD_ALBUMARTIST,Black Eyed Peas,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000048,ALB-EAE8D2F9,CONTEMPORARY,/data/Music/CONTEMPORARY/Black Eyed Peas/Where is the Love-(Promo CDS),ADD_ALBUMARTIST,Black Eyed Peas Feat. Justin,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000049,ALB-C66BB1FE,CONTEMPORARY,/data/Music/CONTEMPORARY/Bliss/Summer Chill Classics [Disc 2],ADD_ALBUMARTIST,Bliss,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000050,ALB-408958BA,CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/13,ADD_ALBUMARTIST,Blur,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000051,ALB-817D10E6,CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Beetlebum [Disc 2],ADD_ALBUMARTIST,Blur,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000052,ALB-9845ABD6,CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Now 42,ADD_ALBUMARTIST,Blur,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000053,ALB-9EAEE156,CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Now 43,ADD_ALBUMARTIST,Blur,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000054,ALB-7F7EB59D,CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Now That What I Call Music 36,ADD_ALBUMARTIST,Blur,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000055,ALB-830D91DC,CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Think Tank,ADD_ALBUMARTIST,Blur,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000056,ALB-7BC535B5,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Desire,ADD_ALBUMARTIST,Bob Dylan,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000057,ALB-549188EB,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Forrest Gump (Disc 1),ADD_ALBUMARTIST,Bob Dylan,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000058,ALB-84BA689B,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Highway 61 Revisited,ADD_ALBUMARTIST,Bob Dylan,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000059,ALB-54A54631,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Pat Garret &amp;amp; Billy The,ADD_ALBUMARTIST,Bob Dylan,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000060,ALB-DBB3218E,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Self Portrait,ADD_ALBUMARTIST,Bob Dylan,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000061,ALB-3B145538,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Legend - Deluxe Edition (Disc 1_ Legend Remastered),ADD_ALBUMARTIST,Bob Marley & The Wailers,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000062,ALB-8DC2773B,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Live! [Remaster],ADD_ALBUMARTIST,Bob Marley & The Wailers,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000063,ALB-73D4B179,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/no title,ADD_ALBUMARTIST,Bob Marley vs. 2Pac,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000064,ALB-EA2CA062,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Planet Reggae,ADD_ALBUMARTIST,Bob Marley,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000065,ALB-CCE541F5,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Pure Reggae,ADD_ALBUMARTIST,Bob Marley & The Wailers,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000066,ALB-7689A027,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/single remix,ADD_ALBUMARTIST,Bob Marley,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000067,ALB-85242F9F,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Talking Blues,ADD_ALBUMARTIST,Bob Marley,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000068,ALB-7882097F,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Wonderman Years (Disc 1),ADD_ALBUMARTIST,Bob Marley & The Wailers,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000069,ALB-2ECEBABC,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Seger & The Silver Bullet Band/Billboard Top 100 of 1977,ADD_ALBUMARTIST,Bob Seger & The Silver Bullet Band,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000070,ALB-407F5542,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Seger & The Silver Bullet Band/Billboard Top 100 of 1978,ADD_ALBUMARTIST,Bob Seger & The Silver Bullet Band,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000071,ALB-1D0864D3,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Seger & The Silver Bullet Band/Billboard Top 100 of 1979,ADD_ALBUMARTIST,Bob Seger & the Silver Bullet Band,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000072,ALB-D4BC7295,CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Seger & The Silver Bullet Band/Billboard Top 100 of 1980,ADD_ALBUMARTIST,Bob Seger,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
