library,path,issue,value
CONTEMPORARY,/data/Music/CONTEMPORARY/Cinematic Orchestra/Zen_ A Retrospective [Disc 2]/._10 Channel 1 Suite.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cinematic Orchestra/Zen_ A Retrospective [Disc 2]/._12 All Things To All Men 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cinematic Orchestra/Zen_ A Retrospective [Disc 2]/._12 All Things To All Men.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cramberies/Unknown Album/._Track  5.MP3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cranberries/The Parent Trap/._There she goes.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cranberries/Unknown Album/._49 Linger 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cranberries/Unknown Album/._49 Linger.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cranberries/Unknown Album/._95 Free To Decide 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cranberries/Unknown Album/._95 Free To Decide.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cranberries/Unknown Album/._95 When You're Gone 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cranberries/Unknown Album/._95 When You're Gone.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cranberries/Unknown Album/._Linger.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cranberries/Unknown Album/._Zombie(Techno Remix).mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/1982/._01 Do You Really Want To Hurt Me.MP3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/1983/._01 Karma Chameleon.MP3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1983/._11 Do You Really Want To Hurt Me 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1983/._11 Do You Really Want To Hurt Me.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1983/._34 Time 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1983/._34 Time.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1983/._77 I'll Tumble 4 Ya 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1983/._77 I'll Tumble 4 Ya.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1984/._10 Karma Chameleon 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1984/._10 Karma Chameleon.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1984/._63 Miss Me Blind 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1984/._63 Miss Me Blind.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1984/._82 Church Of The Poisoned Mind 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Billboard Top 100 of 1984/._82 Church Of The Poisoned Mind.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Now 43/._18 Your Kisses are Charity.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/The Best Of Culture Club/._05 The War Song.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/The Best of Culture Club [Cema]/._05 The War Song.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Unknown Album/._Its A Miracle.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Unknown Album/._Karma Chamelion.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Culture Club/Unknown Album/._Victims.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,"/data/Music/CONTEMPORARY/Cure, The/Unknown Album/._Killing an Arab.MP3",metadata_error,can't sync to MPEG frame
CONTEMPORARY,"/data/Music/CONTEMPORARY/Cure, The/Unknown Album/._Lovecats, The.MP3",metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/1984/._02 Girls Just Want To Have Fun.MP3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1984/._15 Girls Just Want To Have Fun 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1984/._15 Girls Just Want To Have Fun.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1984/._17 Time After Time 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1984/._17 Time After Time.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1984/._34 She Bop 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1984/._34 She Bop.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1985/._65 All Through The Night 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1985/._65 All Through The Night.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1986/._41 True Colors 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1986/._41 True Colors.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1987/._61 Change of Heart 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Billboard Top 100 of 1987/._61 Change of Heart.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Shine [EP]/._01 Shine.m4a,metadata_error,Unsupported or unreadable audio metadata
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Shine [EP]/._05 Shine (The Illicit Mix).m4a,metadata_error,Unsupported or unreadable audio metadata
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._01 I'm Gonna Be Strong.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._02 Girls Just Wanna Have Fun.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._03 Money Changes Everything.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._04 Time After Time.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._05 She Bop.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._06 All Through The Night.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._07 Change Of Heart.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._08 True Colours.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._09 What's Going On.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._10 I Drove All Night.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._11 World Is Stone.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._12 Who Let In The Rain.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._13 That's What I Think.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._14 Sally's Pigeons.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._15 Girls Just Wanna Have Fun.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Twelve Deadly Cyns - And Then Some [UK]/._16 Come On Home.mp3,metadata_error,can't sync to MPEG frame
