library,path,issue,value
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/403 - Third movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/404 - Fourth movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/405 - Symphony No. 6 F Major.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/406 - Second movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/407 - Third movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/408 - Fourth movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/409 - Fifth movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/501 - Egmont Overture.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/502 - Symphony No. 7 in A Major.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/503 - Second movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/504 - Third movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/505 - Fourth movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/506 - Symphony No. 8 in F Major.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/507 - Second movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/508 - Third movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/509 - Fourth movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/510 - Turkish march from the ruins of Athens.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/601 - Leonora Overture No. 3.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/602 - Sonata No. 14 in C Sharp Minor.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/603 - Second movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/604 - Third movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/605 - Piano Concerto No. 5 in E Flat.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/606 - Second movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/607 - Third movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/701 - Symphony No. 9 in D Minor.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/702 - Second movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/703 - Third movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/704 - Fourth movement.flac,missing_date,
