library,folder,tracks,artist_count,albumartist_count,album_count,date_count,formats
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Triple Concerto BWV 1044, Concertos for Oboe D'Amore BWV 1055, Three Violins BWV 1064",9,3,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Viola da Gamba Sonatas,13,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Violin Concertos BWV 1041, 1042, 1043 & 1060",12,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Violin Sonatas BWV 1014-1019,27,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Violin Sonatas, Trio Sonatas",15,3,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Weihnachts-Oratorium, BWV 248",65,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Well Tempered Clavier [Harpsichord],96,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach/Bach - Christmas Oratorio, St Matthew Passion, St John Passion, Mass in B Minor - Gardiner",200,4,4,4,4,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach/Brandenburg Concertos Nos. 1, 2 & 3",10,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach/Brandenburg Concertos Nos. 4, 5 & 6",9,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Bach/Cello Suites - Yo-Yo Ma,36,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Bach/Henrik Behrens -- Church Organ,2,2,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Bach/Lute Music of the 18th Century - Konrad Junghänel,2,1,1,1,0,mp3
CLASSICAL,/data/Music/CLASSICAL/Bach/Mass in B Minor,27,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Bach/Toccata and Fugue BWV 565 - Simon Preston,18,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach/Various,12,2,2,4,2,"flac,mp3"
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/12 Scottish Songs WoO 156 & 157,24,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/25 Scottish Songs Op108 & WoO 158-1,41,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/26 Welsh Songs WoO 155,26,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Arias,9,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Bagatelles II - Alfred Brendel, piano",17,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Canons, Epigrams and Jokes",72,2,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Cantatas WoO 87 & 88,12,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Cello Sonatas,47,1,2,2,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Chamber Music for Flute,35,4,4,2,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Christus am Olberge Op. 85,6,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Dances,93,6,1,2,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Der Glorreiche Augenblick,30,3,1,1,1,flac
