library,folder,tracks,artist_count,albumartist_count,album_count,date_count,candidate_reason,existing_albumartist_state,quality_score,flags
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Best of Classics,17,14,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters,9,7,1,1,0,multiple_distinct_track_artists,single,83,multiple_artists;missing_date
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Weepies,11,9,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classical Brit Awards 2004,24,22,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classical Love,17,14,1,2,2,multiple_distinct_track_artists,single,70,multiple_artists;multiple_album_tags;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classical Passion,6,6,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Essential Ballet,19,10,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Essential Classics,10,8,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Hungary on CD (Magyarország CD),14,4,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Proms Classics,4,4,1,1,0,multiple_distinct_track_artists,single,88,multiple_artists;missing_date
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Summer Classics,13,12,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Summer Festival Classics,10,9,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Sunday Classics,10,8,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Dvorák/Dvořák - Sibelius - The Swan of Tuonela - London Symphony Orchestra, Sir Charles Mackerras",10,2,1,2,1,multiple_distinct_track_artists,single,81,multiple_artists;multiple_album_tags
CLASSICAL,/data/Music/CLASSICAL/Fauré - The Best Of,16,11,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Fauré, David Willcocks, Sir Thomas Beecham, Jacqueline du Pré ‎– Pavane, Cantique De Jean Racine, Dolly Suite, Élégie",18,9,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Great Opera Scenes - Renée Fleming - LSO, Georg Solti",7,3,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Handel - Zadok the Priest,19,11,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Haydn/Haydn - Sym 88, 92, 94 - Sinfonia Concertante - Die Schopfung; Bernstein",58,7,1,4,4,multiple_distinct_track_artists,single,73,multiple_artists;multiple_album_tags;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Korngold - Die Tote Stadt - Münchner Rundfunkorchester,17,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Liszt/Liszt's Greatest Hits,5,5,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Mendelssohn/Mendelssohn - Symphony No. 2, Lobgesang",14,4,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Adagios - Notturni - Horn Duos - Divertimento K188,26,4,4,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Cassationen K63 & K99 - Divertimento K251,20,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Concert Arias,50,9,1,1,3,multiple_distinct_track_artists,single,88,multiple_artists;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Concertos - Oboe Basson Winds - Sinfonia Concertante K297B,9,4,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Mozart - Complete/Duos KV 423-424, Trio KV 266",7,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,"/data/Music/CLASSICAL/Mozart - Complete/Grabmusic K42, Davidde Penitente K469",15,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Keyboard Works Four Hands & Two Pianos,8,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Klavierstücke,43,6,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/La Betula Liberata I & II,32,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Litaniae K109 & K243,14,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Litaniae K125 & K195,14,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,"/data/Music/CLASSICAL/Mozart - Complete/Missa Brevis KV 220, 194, 192",18,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Mozart - Complete/Missa Brevis KV 259, Missa KV 258, 257",19,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Mozart - Complete/Missa Brevis KV 275, Missa Longa KV 262",12,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Mozart - Complete/Missa KV 66, Missa Brevis KV 49, Kyrie KV 33",25,3,3,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Missa Solemnis KV 139 - Missa Brevis KV 65,27,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Missa Solemnis KV 337 - Coronation Mass KV 317 - Kyrie KV 341,13,3,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Mozart - Freemason Music,14,3,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Offertoria,22,6,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Mozart - Complete/Piano Works - Variations Vol. I-III - K 256, 24, 25, 179, 460, 180, 54",17,2,1,1,2,multiple_distinct_track_artists,single,88,multiple_artists;multiple_dates
CLASSICAL,"/data/Music/CLASSICAL/Mozart - Complete/Regina Coeli K108, 127 & 276 - Sancta Maria K273",9,4,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Sacred Works - Liturgical chants - Latin Motets,15,6,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Serenades K185 & K203,15,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Serenata Notturna - Posthorn Serenade - Gallimathias Musicum - KV 239-320-32,23,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Sinfonia Concertante KV 364 - Concertone for 2 Violins,6,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Songs,33,2,1,1,2,multiple_distinct_track_artists,single,88,multiple_artists;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/String Quartets KV 589-590-80,12,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Mozart - Complete/Vesperae Solennes K321 & K339,12,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart/Le Nozze di Figaro - G Taddei,55,6,6,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Mozart/Various,8,2,2,2,1,multiple_distinct_track_artists,multiple,63,multiple_artists;multiple_albumartists;multiple_album_tags
CLASSICAL,/data/Music/CLASSICAL/Mozart/Wind Concertos & Serenades - Karl Böhm,93,9,1,1,5,multiple_distinct_track_artists,single,75,multiple_artists;multiple_dates
CLASSICAL,"/data/Music/CLASSICAL/Orff/ORFF Orff-Schulwerk, Vol. 1 Musica Poetica",5,3,1,1,1,multiple_distinct_track_artists,single,90,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Rachmaninov/Rachmaninov - Rhapsody On A Theme Of Paganini, Op. 34 etc. - David Golub, LSO, Wyn Morris",8,2,1,2,1,multiple_distinct_track_artists,single,81,multiple_artists;multiple_album_tags
CLASSICAL,/data/Music/CLASSICAL/Rodrigo - Complete Orchestral works,13,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Rodrigo - Spanish Guitar Favourites,16,6,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Tchaikovsky - Complete/Hamlet Op. 67,21,2,1,2,2,multiple_distinct_track_artists,single,73,multiple_artists;multiple_album_tags;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Tchaikovsky - Complete/Opera - Charodeika,27,2,1,2,1,multiple_distinct_track_artists,single,81,multiple_artists;multiple_album_tags
CLASSICAL,/data/Music/CLASSICAL/Tchaikovsky - Complete/Piano Concertos,11,2,1,2,2,multiple_distinct_track_artists,single,73,multiple_artists;multiple_album_tags;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Tchaikovsky - Complete/Piano Sonatas,8,2,1,1,2,multiple_distinct_track_artists,single,88,multiple_artists;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Tchaikovsky - Complete/Songs,106,3,1,1,5,multiple_distinct_track_artists,single,88,multiple_artists;multiple_dates
